Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A6A5C279,122,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
C4M832,122,3405636,Uncharacterized protein,Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
D7FGU6,122,,"RABSH2, a protein conserved in some stramenopiles (Also in oomycetes), characterised by a combinatio",Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q5B2X4,122,2871395,Secretion related GTPase SrgD (AFU_orthologue AFUA_1G07680),Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),227321,"GTPase activity, GTP binding",nan,nan,nan,Golgi apparatus,nan,nan,nan,Reference proteome,nan
T1FU65,122,20212361,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"calcium channel regulator activity, GTPase activity, GTP binding",nan,nan,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0A0D2WTX7,123,,C2 DOCK-type domain-containing protein,Capsaspora owczarzaki (strain ATCC 30864),595528,"GTPase activity, GTP binding, guanyl-nucleotide exchange factor activity",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0N4WNF1,123,,RING-type domain-containing protein,Haemonchus placei (Barber's pole worm),6290,"GTPase activity, GTP binding, metal ion binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7VLW8,123,105316589,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Z5T6M9,123,,Mitochondrial Rho GTPase,Hortaea werneckii EXF-2000,1157616,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2G9R6U9,123,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3Q0J9W7,123,,ras-related and estrogen-regulated growth inhibitor-like isoform X1,Diaphorina citri (Asian citrus psyllid),121845,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A4P9ZW66,123,,P-loop containing nucleoside triphosphate hydrolase protein,Dimargaris cristalligena,215637,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4Z2FNN9,123,,Mitochondrial Rho GTPase,Liparis tanakae (Tanaka's snailfish),230148,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A553PDH2,123,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5P1E8J9,123,,Uncharacterized protein,Asparagus officinalis (Garden asparagus),4686,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5B3V5,123,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6G0UNF2,123,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6G0UZC8,123,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A7RJN8,123,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A8B7Z5,123,5701828,Putative Rab32,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia),184922,"GTPase activity, GTP binding",nan,"intracellular protein transport, melanosome organization",nan,"Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
C3ZTX8,123,,VWFA domain-containing protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GTPase activity, GTP binding, SNARE binding, zinc ion binding",nan,"COPII-coated vesicle cargo loading, intracellular protein transport, signal transduction",nan,"Endoplasmic reticulum, Other locations",nan,nan,nan,Reference proteome,nan
D7FWB7,123,,"RABLI1, a divergent Ectocarpus-specific RAB-like GTPase",Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
E3KPV0,123,10540349,Mitochondrial Rho GTPase,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus),418459,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
F9X9N5,123,13400165,Mitochondrial Rho GTPase,Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici),336722,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
H9J0U6,123,,Uncharacterized protein,Bombyx mori (Silk moth),7091,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
P0CO78,123,,Mitochondrial Rho GTPase 1,Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans),214684,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
Q5B5L3,123,2873586,Mitochondrial Rho GTPase 1,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),227321,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
R7Z2A6,123,19904609,Mitochondrial Rho GTPase,Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast),1168221,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
W4L503,123,,Uncharacterized protein,Candidatus Entotheonella factor,1429438,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6MDT0,123,,GTP-binding protein of the ras superfamily involved in termination of M-phase,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A078B4E0,124,,Ras-related protein rab-39b-like,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0S4J6S8,124,,"Ras-related GTP-binding protein, putative",Bodo saltans (Flagellated protozoan),75058,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0V0QXE3,124,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A158QWE6,124,,Uncharacterized protein,Nippostrongylus brasiliensis (Rat hookworm),27835,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A183SF05,124,,Uncharacterized protein,Schistocephalus solidus (Tapeworm),70667,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1R2CNZ0,124,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7UWC6,124,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T7PDE2,124,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T7PDK4,124,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4P9WHU1,124,,Uncharacterized protein,Blyttiomyces helicus,388810,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4S8LBF5,124,,Uncharacterized protein,Dendrothele bispora (strain CBS 962.96),1314807,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0A553PJC2,124,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A0AB77,124,,Mitochondrial Rho GTPase 2,Haematococcus lacustris (Green alga) (Haematococcus pluvialis),44745,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5C8Q4,124,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6H5IRF8,124,,Uncharacterized protein,Trichogramma brassicae,86971,"GTPase activity, GTP binding, sodium channel activity","Ion channel, Sodium channel",nan,"Ion transport, Sodium transport, Transport",Other locations,nan,nan,nan,Reference proteome,nan
B3RX42,124,6753910,Uncharacterized protein,Trichoplax adhaerens (Trichoplax reptans),10228,"GTPase activity, GTP binding",nan,"intracellular protein transport, regulation of endocytosis",nan,"Endosome, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
C4LWD1,124,3411314,Ras family protein,Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,"protein secretion, regulation of exocytosis, vesicle docking involved in exocytosis",nan,nan,nan,nan,nan,Reference proteome,nan
E9I411,124,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
F9WGS1,124,,"WGS project CAEQ00000000 data, annotated contig 535",Trypanosoma congolense (strain IL3000),1068625,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q7RZA2,124,3873727,Mitochondrial Rho GTPase 1,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
T1F583,124,20203982,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"calcium channel regulator activity, GTPase activity, GTP binding",nan,nan,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
T1GGJ0,124,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W4XSG5,124,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A0A077ZKG2,125,,GTP binding protein Rheb,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0R3PZS6,125,,Uncharacterized protein,Angiostrongylus costaricensis (Nematode worm),334426,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JQ39,125,,Rab8,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2BKG2,125,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7V2P1,125,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2A2LSH8,125,,Uncharacterized protein,Diploscapter pachys,2018661,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2I0TUQ1,125,,Ras-related protein rab-34,Limosa lapponica baueri,1758121,"GTPase activity, GTP binding, phospholipase A2 activity",nan,"arachidonic acid secretion, phospholipid metabolic process",nan,nan,nan,nan,nan,Reference proteome,nan
A0A3S1BJE8,125,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,"positive regulation of TOR signaling, signal transduction",nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A4C2A6R3,125,,Ras-related protein Rab-21,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A4Z2FYJ4,125,,Small monomeric GTPase,Liparis tanakae (Tanaka's snailfish),230148,"G protein activity, GTP binding",Hydrolase,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A553NTZ8,125,,SOCS box domain-containing protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",nan,intracellular signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5A8CLQ0,125,,Uncharacterized protein,Cafeteria roenbergensis (Marine flagellate),33653,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5J4P0P6,125,,DnaJ subfamily C member 27,Paragonimus westermani,34504,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5M3MA52,125,19206926,Uncharacterized protein,Coniophora puteana (strain RWD-64-598) (Brown rot fungus),741705,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6H5GK30,125,,Uncharacterized protein,Nesidiocoris tenuis,355587,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8BD39,125,,RAB2A,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
D7EHZ6,125,,Uncharacterized protein,Tribolium castaneum (Red flour beetle),7070,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
L8H8Z6,125,14921803,EF hand domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"calcium ion binding, GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
M0ST83,125,,Uncharacterized protein,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis),214687,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
O96193,125,812700,Ras-related protein Rab-5A,Plasmodium falciparum (isolate 3D7),36329,"G protein activity, GTPase activity, GTP binding",Hydrolase,"intracellular protein transport, regulation of vacuole fusion, non-autophagic, small GTPase mediated signal transduction",nan,"Endosome, Other locations",nan,nan,nan,"3D-structure, Reference proteome",nan
Q54S88,125,8623689,Uncharacterized protein,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q5NSY8,125,3401974,Ras family protein,Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,"protein secretion, regulation of exocytosis, vesicle docking involved in exocytosis",nan,nan,nan,nan,nan,Reference proteome,nan
Q7XP63,125,4336785,Os04g0584800 protein,Oryza sativa subsp. japonica (Rice),39947,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W4XSJ5,125,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
X6MJ68,125,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0C2DZV1,126,,Uncharacterized protein,Ancylostoma duodenale,51022,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0S4J9T5,126,,"Rab7 GTP-binding protein, putative",Bodo saltans (Flagellated protozoan),75058,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A131ZUJ3,126,,GTP-binding protein Rheb-like protein,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"GTPase activity, GTP binding",nan,"positive regulation of TOR signaling, signal transduction",nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A183VZX9,126,,Uncharacterized protein,Trichobilharzia regenti (Nasal bird schistosome),157069,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1C3YID2,126,,Uncharacterized protein,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),229533,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1D3D6X3,126,,Ras-related protein rab2bv,Cyclospora cayetanensis,88456,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2A9NCI1,126,,Uncharacterized protein,Amanita thiersii Skay4041,703135,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4U5M8R7,126,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A544ZUH9,126,,Uncharacterized protein,Golovinomyces magnicellulatus,62714,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A553PID6,126,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5K4FCD2,126,,Uncharacterized protein,Schistosoma mansoni (Blood fluke),6183,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A6A5BPM3,126,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W3XH38,126,19268388,Uncharacterized protein,Pestalotiopsis fici (strain W106-1 / CGMCC3.15140),1229662,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W4Y6W3,126,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
X6LFP7,126,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0M0JZ17,127,,Ras-related protein rab7-like protein,Chrysochromulina tobinii,1460289,"calcium ion binding, GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0R0EMM5,127,100782061,Mitochondrial Rho GTPase,Glycine max (Soybean) (Glycine hispida),3847,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A1B8GVX5,127,28835329,Mitochondrial Rho GTPase,Pseudogymnoascus verrucosus,342668,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A1V9X8M4,127,,GTP-binding protein Rheb-like,Tropilaelaps mercedesae,418985,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1Z5KFH8,127,,Uncharacterized protein,Fistulifera solaris (Oleaginous diatom),1519565,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2I0TAI3,127,,Ras-related protein rab-40c,Limosa lapponica baueri,1758121,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2P8XMX3,127,,Uncharacterized protein,Blattella germanica (German cockroach) (Blatta germanica),6973,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2R5GTV3,127,,Ras-related protein Rab-8,Hondaea fermentalgiana,2315210,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T7P582,127,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A3P6PF46,127,,Uncharacterized protein,Gongylonema pulchrum,637853,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A401Q5B9,127,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A4V6A0R2,127,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4Y9ZD21,127,,Uncharacterized protein,Dentipellis fragilis,205917,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A507F1H7,127,,Uncharacterized protein,Chytriomyces confervae,246404,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5P1EY81,127,,Uncharacterized protein,Asparagus officinalis (Garden asparagus),4686,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5BE77,127,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
D6RNZ3,127,9378285,GTP-binding protein,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata),240176,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
M7ALQ3,127,,Transforming protein RhoA,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
R4G4N4,127,,Putative rab-like protein 5,Rhodnius prolixus (Triatomid bug),13249,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
S4RT72,127,,"RAB40B, member RAS oncogene family",Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,"intracellular signal transduction, protein ubiquitination",nan,nan,nan,nan,nan,Reference proteome,nan
A0A091QCN5,128,,Mitochondrial Rho GTPase 1,Merops nubicus (Northern carmine bee-eater),57421,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, mitochondrion transport along microtubule",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0C3NL60,128,,Uncharacterized protein,Phlebiopsis gigantea 11061_1 CR5-6,745531,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0D1ZEG6,128,27322176,Mitochondrial Rho GTPase,Exophiala mesophila (Black yeast),212818,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0S4KKV2,128,,"Ras-related GTP-binding protein, putative",Bodo saltans (Flagellated protozoan),75058,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A132AHS4,128,,GTPase Rho-like protein,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A163K1A3,128,,Mitochondrial Rho GTPase,Absidia glauca (Pin mould),4829,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A1B8GMV4,128,28838134,Uncharacterized protein,Pseudogymnoascus verrucosus,342668,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A267FKF0,128,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2C6L349,128,,Small rab-related gtpase,Cystoisospora suis,483139,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2G9RM81,128,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0A2K3NG05,128,,Ras-related protein RABH1b-like,Trifolium pratense (Red clover),57577,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2K3P4E8,128,,Mitochondrial Rho GTPase,Trifolium pratense (Red clover),57577,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A401Q797,128,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A444V6T3,128,,Rho-related GTP-binding protein RhoN,Acipenser ruthenus (Sterlet sturgeon),7906,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4S4M4N7,128,,Mitochondrial Rho GTPase,Bondarzewia mesenterica,1095465,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A553P2C3,128,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A654FZS1,128,,Uncharacterized protein,Arabidopsis thaliana (Mouse-ear cress),3702,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,nan,nan
A0C7J4,128,5019943,Uncharacterized protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A8PF58,128,6017591,Uncharacterized protein,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata),240176,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
G7EA11,128,26264887,Mitochondrial Rho GTPase,Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970),764103,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
M1UP83,128,16992728,Small GTP-binding protein of Rab family,Cyanidioschyzon merolae (strain 10D) (Red alga),280699,"GTPase activity, GTP binding",nan,nan,nan,Chloroplast,nan,nan,nan,Reference proteome,nan
