Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
L2GLS9,168,19882276,Small GTP-binding protein domain protein,Vittaforma corneae (strain ATCC 50505) (Microsporidian parasite) (Nosema corneum),993615,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
L2GWZ3,168,19878284,Small GTP-binding protein domain,Vavraia culicis (isolate floridensis) (Microsporidian parasite),948595,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
L8HJ94,168,14926715,Raclike protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding, signaling adaptor activity","asexual reproduction, chemotaxis to cAMP, cortical cytoskeleton organization, mitotic cytokinesis, positive regulation of cytokinesis, positive regulation of protein kinase B signaling, positive regulation of TORC2 signaling, protein localization to cell cortex, Rac protein signal transduction, regulation of positive chemotaxis to cAMP, sexual reproduction","Plasma Membrane, Other locations"
Q54HZ7,168,8626967,Rho-related protein racM,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, engulfment of apoptotic cell, establishment or maintenance of cell polarity, mitotic cytokinesis, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
R7VAN2,168,,Uncharacterized protein,Capitella teleta (Polychaete worm),283909,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
V3Z0X4,168,20230363,Uncharacterized protein,Lottia gigantea (Giant owl limpet),225164,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A098VN20,169,25260684,Uncharacterized protein,Mitosporidium daphniae,1485682,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0G2JW83,169,,Ras homolog family member U,Rattus norvegicus (Rat),10116,"GTPase activity, GTP binding","actin cytoskeleton organization, Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis, G1/S transition of mitotic cell cycle, Rac protein signal transduction, regulation of cell shape",nan
A0A1D1VPR0,169,,Uncharacterized protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1D5PX20,169,,Uncharacterized protein,Gallus gallus (Chicken),9031,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cell migration, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
A0A1E5RP37,169,,GTP-binding protein RHO2,Hanseniaspora osmophila,56408,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1J5X5N5,169,,Rho family GTPase,Amphiamblys sp. WSBS2006,1866961,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A210QIY9,169,,Cell division control protein 42-like,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A2P4TG55,169,,Uncharacterized protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2T7NXM0,169,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A397I1R8,169,,Uncharacterized protein,Diversispora epigaea,1348612,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A397UJP6,169,,Putative GTP-binding protein rhoA,Gigaspora rosea,44941,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A3M0KPK8,169,,Uncharacterized protein,Hirundo rustica rustica,333673,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A3M7RS78,169,,Rho-related GTP-binding,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"GTPase activity, GTP binding",small GTPase mediated signal transduction,Extracellular region or secreted
A0A3S1BJU5,169,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4P9X1A5,169,,Uncharacterized protein,Caulochytrium protostelioides,1555241,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4U5NU31,169,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4U8UXI9,169,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4Z2F8L1,169,,Rho-related GTP-binding protein RhoU,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6A5C2V7,169,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6A5CHH1,169,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
B7XJ26,169,,GTPase SAR1 related small G protein,Enterocytozoon bieneusi (strain H348) (Microsporidian parasite),481877,"GTPase activity, GTP binding",nan,nan
D6X2A6,169,659479,Cdc42 homolog-like Protein,Tribolium castaneum (Red flour beetle),7070,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan
E3K9B3,169,10539889,Rho family protein,Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus),418459,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
J9D8H6,169,,Small GTP-binding protein domain,Edhazardia aedis (strain USNM 41457) (Microsporidian parasite),1003232,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
K1PY83,169,,Rho-related GTP-binding protein RhoU,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
L8HGF1,169,14925353,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
O13928,169,3361511,GTP-binding protein rho3,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812,"GTPase activity, GTP binding, protein kinase binding","actin cytoskeleton organization, actin filament organization, cell cycle, cell division, cortical cytoskeleton organization, establishment or maintenance of cell polarity, establishment or maintenance of cell polarity regulating cell shape, microtubule cytoskeleton organization, regulation of actin cytoskeleton organization, regulation of cell shape, regulation of exocytosis, regulation of septum digestion after cytokinesis, small GTPase mediated signal transduction","Cytoskeleton, Cytosol, Nucleus, Plasma Membrane, Other locations"
P06781,169,855634,GTP-binding protein RHO2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment of cell polarity, establishment or maintenance of cell polarity, fungal-type cell wall organization, microtubule-based process, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
Q5YLG6,169,100005849,"Novel protein similar to vertebrate ras homolog gene family, member V (RHOV)",Danio rerio (Zebrafish) (Brachydanio rerio),7955,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis, epiboly involved in gastrulation with mouth forming second, protein localization to adherens junction",nan
Q6C1D4,169,2907847,YALI0F17270p,Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica),284591,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
S8CQL4,169,,Uncharacterized protein,Genlisea aurea,192259,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
X6LW34,169,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A090MUM1,170,,"Alpha-1,3/1,6-mannosyltransferase ALG2",Strongyloides ratti (Parasitic roundworm),34506,"GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity, GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity, GTPase activity, GTP binding","protein glycosylation, small GTPase mediated signal transduction",Other locations
A0A0B2VL72,170,,Rho-related GTP-binding protein RhoU,Toxocara canis (Canine roundworm),6265,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0C2W493,170,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0D2WRI9,170,,Abnormal cell MIGration family member,Capsaspora owczarzaki (strain ATCC 30864),595528,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0D8XS58,170,,Ras family protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A132ADC2,170,,Ras-like protein GTP-binding protein Rho1-like protein,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A165FT29,170,,Uncharacterized protein,Exidia glandulosa HHB12029,1314781,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A167VQU0,170,,"Small GTPase superfamily, Rho type",Ascosphaera apis ARSEF 7405,392613,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A168BRP1,170,,"Small GTPase superfamily, Rho type",Ascosphaera apis ARSEF 7405,392613,"GTPase activity, GTP binding","establishment or maintenance of actin cytoskeleton polarity, positive regulation of exocytosis, positive regulation of formin-nucleated actin cable assembly, small GTPase mediated signal transduction","Cytosol, Other locations"
A0A177B9R8,170,,Uncharacterized protein,Intoshia linei,1819745,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1D2M6A1,170,,Ras-related protein ced-10,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1D2VCQ9,170,30967464,Ras-like GTP-binding protein Rho1,Ascoidea rubescens DSM 1968,1344418,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1D5P903,170,,Uncharacterized protein,Gallus gallus (Chicken),9031,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cell migration, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
A0A1E4THB8,170,,Uncharacterized protein,Tortispora caseinolytica NRRL Y-17796,767744,"GTPase activity, GTP binding",small GTPase mediated signal transduction,Other locations
A0A1Q3EQZ0,170,,Gtp-binding protein rho3,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),5353,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1Y1V5U5,170,,Rho family small GTP binding protein cdc42,Piromyces finnis,1754191,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A267EQV9,170,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A267GUI7,170,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2B4RRN3,170,,Cell division control protein 42-like,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A2F0B6Z7,170,,Rho-related GTP-binding protein Rho6,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2G9SJ23,170,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2I0UAK5,170,,Rho-related gtp-binding protein,Limosa lapponica baueri,1758121,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2P6N6D9,170,,Small GTPase Rac1,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2T7PCT8,170,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2Z7CK70,170,,Nucleotid_trans domain-containing protein,Dorcoceras hygrometricum,472368,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A316WAW9,170,,Ras-domain-containing protein,Ceraceosorus guamensis,1522189,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A3S1B449,170,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A437AHY0,170,,Rho GTPase,Tubulinosema ratisbonensis,291195,"GTPase activity, GTP binding",nan,nan
A0A443QL10,170,,Rho-related GTP-binding protein RhoE-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding",nan,nan
A0A444UPG0,170,,Rho-related GTP-binding protein RhoU,Acipenser ruthenus (Sterlet sturgeon),7906,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4P9XLQ0,170,,Putative Rho GTPase Rho 2,Thamnocephalis sphaerospora,78915,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4S2LDJ0,170,,Uncharacterized protein,Opisthorchis felineus,147828,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4S2LFI0,170,,Uncharacterized protein,Opisthorchis felineus,147828,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4T0FQU3,170,,Uncharacterized protein,Wallemia hederae,1540922,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4U5P0P6,170,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A553NE78,170,,Uncharacterized protein,Tigriopus californicus (Marine copepod),6832,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6A4X5T6,170,,Rho-related GTP-binding protein RhoU,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6A5BK92,170,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6A5BN61,170,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6A5CIH4,170,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan
A0A6G0V5I0,170,,Uncharacterized protein,Halicephalobus sp. NKZ332,2598192,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6J1SEI3,170,,rho-related GTP-binding protein RhoU-like,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6J1SFL3,170,,cdc42 homolog,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A2G1A1,170,4746726,"Multidrug resistance protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A7S7Y6,170,5511887,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan
A7UV03,170,5667525,AGAP003931-PA,Anopheles gambiae (African malaria mosquito),7165,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan
C1DZ48,170,8240989,Uncharacterized protein,Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga),296587,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
C3XR84,170,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan
C3ZTX9,170,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan
E0W357,170,8236942,"GTPase_rho, putative",Pediculus humanus subsp. corporis (Body louse),121224,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
E7F7Z2,170,555552,Si:ch211-133l11.10,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan
E9H6G6,170,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
F1QM54,170,550481,Ras homolog family member Ub,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"GTPase activity, GTP binding","Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis",nan
F6P903,170,,Rho family GTPase 1a,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cell migration, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Plasma Membrane, Other locations"
G4VMJ9,170,8347113,Putative rac gtpase,Schistosoma mansoni (Blood fluke),6183,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
G7DT76,170,26268051,Uncharacterized protein,Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970),764103,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
K1QCI4,170,,Rho-related GTP-binding protein RhoE,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
K1REY7,170,105341297,Cdc42-like protein,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
K5Y294,170,18829177,Uncharacterized protein,Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom),597362,"GTPase activity, GTP binding","actin cytoskeleton organization, establishment or maintenance of cell polarity regulating cell shape, microtubule cytoskeleton organization, regulation of septum digestion after cytokinesis, small GTPase mediated signal transduction","Plasma Membrane, Other locations"
M1V7K5,170,16993508,Small GTP-binding protein of Rho family,Cyanidioschyzon merolae (strain 10D) (Red alga),280699,"GTPase activity, GTP binding",small GTPase mediated signal transduction,Chloroplast
M7NSD3,170,19895479,Cell division control protein 42 homolog,Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris),1069680,"G protein activity, GTP binding","cell division, small GTPase mediated signal transduction",Plasma Membrane
P52198,170,8153,Rho-related GTP-binding protein RhoN,Homo sapiens (Human),9606,"GTPase activity, GTP binding, protein kinase binding, protein N-terminus binding","actin filament organization, cell migration, cortical cytoskeleton organization, establishment or maintenance of cell polarity, positive regulation of collateral sprouting, regulation of actin cytoskeleton organization, regulation of cell shape, signal transduction, small GTPase mediated signal transduction","Cytoskeleton, Endosome, Plasma Membrane, Other locations"
Q5U3T8,170,492802,Ras homolog family member Ua,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"GTPase activity, GTP binding","atrioventricular canal development, Cdc42 protein signal transduction, cell migration, cell projection assembly, endocytosis, regulation of cell adhesion",nan
Q8SR68,170,859799,RAS-LIKE GTP-BINDING PROTEIN OF THE RHO1 FAMILY,Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite),284813,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
R4XE32,170,,GTP-binding protein rho4,Taphrina deformans (strain PYCC 5710 / ATCC 11124 / CBS 356.35 / IMI 108563 / JCM 9778 / NBRC 8474) (Peach leaf curl fungus) (Lalaria deformans),1097556,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
R7QP55,170,17326799,Uncharacterized protein,Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa),2769,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
R7S3W1,170,18879896,Rho small monomeric GTPase,Punctularia strigosozonata (strain HHB-11173) (White-rot fungus),741275,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
R7TMA4,170,,Uncharacterized protein,Capitella teleta (Polychaete worm),283909,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
U5H7H4,170,,Uncharacterized protein,Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus),683840,"GTPase activity, GTP binding","maintenance of cell polarity, positive regulation of formin-nucleated actin cable assembly, small GTPase mediated signal transduction","Plasma Membrane, Other locations"
V3ZMI5,170,20247131,Uncharacterized protein,Lottia gigantea (Giant owl limpet),225164,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
V3ZQ94,170,20235510,Uncharacterized protein,Lottia gigantea (Giant owl limpet),225164,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
V4AXI6,170,20250638,Uncharacterized protein,Lottia gigantea (Giant owl limpet),225164,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
W4Y5N2,170,,Uncharacterized protein,,,nan,nan,nan
W4ZG51,170,,Uncharacterized protein,,,nan,nan,nan
A0A067M962,171,,Uncharacterized protein,Botryobasidium botryosum FD-172 SS1,930990,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A090LGC4,171,,Uncharacterized protein,Strongyloides ratti (Parasitic roundworm),34506,"GTPase activity, GTP binding","establishment or maintenance of cell polarity, small GTPase mediated signal transduction, vulval development",nan
A0A0B2VXP4,171,,Ras-like GTP-binding protein Rho1,Toxocara canis (Canine roundworm),6265,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0C2RX15,171,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0C2SLT1,171,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0C2ST18,171,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0C2W4N8,171,,Uncharacterized protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0C3E5W6,171,,Uncharacterized protein,Scleroderma citrinum Foug A,1036808,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0C3Q7J7,171,,Uncharacterized protein,Tulasnella calospora MUT 4182,1051891,"GTPase activity, GTP binding","actin cytoskeleton organization, establishment or maintenance of cell polarity regulating cell shape, microtubule cytoskeleton organization, regulation of septum digestion after cytokinesis, small GTPase mediated signal transduction","Plasma Membrane, Other locations"
A0A0D1YHT6,171,27315925,Uncharacterized protein,Verruconis gallopava,253628,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0F4Z889,171,,Uncharacterized protein,Thielaviopsis punctulata,72032,"GTPase activity, GTP binding","establishment or maintenance of actin cytoskeleton polarity, negative regulation of glucose mediated signaling pathway, regulation of fungal-type cell wall (1->3)-alpha-glucan biosynthetic process, small GTPase mediated signal transduction",Other locations
A0A0H2R1A8,171,,Small GTPase-binding protein,Schizopora paradoxa,27342,"G-protein beta-subunit binding, GTPase activity, GTP binding","actin cytoskeleton reorganization, budding cell bud growth, cellular bud neck septin ring organization, positive regulation of endocytosis, positive regulation of mitotic actomyosin contractile ring assembly, positive regulation of protein kinase C signaling, regulation of cell size, regulation of cell wall (1->3)-beta-D-glucan biosynthetic process, regulation of exocyst localization, regulation of fungal-type cell wall organization, regulation of secondary cell septum biogenesis, regulation of vacuole fusion, non-autophagic, small GTPase mediated signal transduction","Golgi apparatus, Peroxisome, Plasma Membrane, Vacuole, Other locations"
A0A0H2S0U1,171,,Uncharacterized protein,Schizopora paradoxa,27342,"GTPase activity, GTP binding","actin cytoskeleton organization, establishment or maintenance of cell polarity regulating cell shape, microtubule cytoskeleton organization, regulation of septum digestion after cytokinesis, small GTPase mediated signal transduction","Plasma Membrane, Other locations"
A0A0K6GHK6,171,,GTP-binding protein Rho3,Rhizoctonia solani,456999,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0L0D7Z2,171,25564432,Ras-like C3 botulinum toxin substrate 1,Thecamonas trahens ATCC 50062,461836,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0L0S6N2,171,,Cell division control protein 42 homolog,Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus),578462,"G protein activity, GTP binding",small GTPase mediated signal transduction,Plasma Membrane
A0A0L8H8T6,171,,Uncharacterized protein,Octopus bimaculoides (California two-spotted octopus),37653,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0N9HK02,171,,Rho GTPase,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0R0H259,171,,Uncharacterized protein,Glycine max (Soybean) (Glycine hispida),3847,"GTPase activity, GTP binding, protein kinase binding","actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction","Cytoskeleton, Nucleus, Plasma Membrane, Other locations"
A0A0R3W533,171,,Cell division control protein 42 homolog,Taenia asiatica (Asian tapeworm),60517,"G protein activity, GTP binding",small GTPase mediated signal transduction,Plasma Membrane
A0A0V0R1D0,171,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",nan,nan
A0A0V0XVZ8,171,,Rho-related GTP-binding protein RhoU,Trichinella pseudospiralis (Parasitic roundworm),6337,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A139AQI2,171,,Ras-like GTP-binding protein Rho1,Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),1344416,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A161HJV3,171,30036751,Rho family GTPase RHO1,Sugiyamaella lignohabitans,796027,"GTPase activity, GTP binding","maintenance of cell polarity, positive regulation of formin-nucleated actin cable assembly, small GTPase mediated signal transduction","Plasma Membrane, Other locations"
A0A164T166,171,,Cell division control protein 42,Sistotremastrum niveocremeum HHB9708,1314777,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A164ZRG4,171,28895191,Ras-domain-containing protein,Xylona heveae (strain CBS 132557 / TC161),1328760,"GTPase activity, GTP binding","cellular protein localization, division septum assembly, regulation of actin cytoskeleton organization, regulation of cell shape, regulation of division septum assembly, small GTPase mediated signal transduction",Other locations
A0A165ASA0,171,,Rho family small GTP binding protein cdc42,Exidia glandulosa HHB12029,1314781,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A165EGE9,171,,Ras-domain-containing protein,Exidia glandulosa HHB12029,1314781,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A165EGI9,171,,Ras-domain-containing protein,Exidia glandulosa HHB12029,1314781,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A165H8X7,171,,Ras-domain-containing protein,Exidia glandulosa HHB12029,1314781,"GTPase activity, GTP binding","maintenance of cell polarity, positive regulation of formin-nucleated actin cable assembly, small GTPase mediated signal transduction","Plasma Membrane, Other locations"
